year,death_count,avg_age,top_gender,top_citizenship,top_injury,top_killer
2000,35,30.114285714285714,M,Israeli,gunfire,Palestinian civilians
2001,348,28.701149425287355,M,Palestinian,gunfire,Israeli security forces
2002,1326,28.063348416289593,M,Palestinian,gunfire,Israeli security forces
2003,732,26.89071038251366,M,Palestinian,gunfire,Israeli security forces
2004,922,24.857917570498916,M,Palestinian,gunfire,Israeli security forces
2005,240,26.120833333333334,M,Palestinian,gunfire,Israeli security forces
2006,681,25.22466960352423,M,Palestinian,gunfire,Israeli security forces
2007,400,25.0175,M,Palestinian,gunfire,Israeli security forces
2008,900,26.526666666666667,M,Palestinian,gunfire,Israeli security forces
2009,1059,25.78564683663834,M,Palestinian,gunfire,Israeli security forces
2010,89,25.40449438202247,M,Palestinian,gunfire,Israeli security forces
2011,130,26.284615384615385,M,Palestinian,gunfire,Israeli security forces
2012,262,27.14885496183206,M,Palestinian,gunfire,Israeli security forces
2013,42,23.88095238095238,M,Palestinian,gunfire,Israeli security forces
2014,2326,26.672828890799657,M,Palestinian,gunfire,Israeli security forces
2015,179,25.24581005586592,M,Palestinian,gunfire,Israeli security forces
2016,116,23.232758620689655,M,Palestinian,gunfire,Israeli security forces
2017,80,25.925,M,Palestinian,gunfire,Israeli security forces
2018,301,24.249169435215947,M,Palestinian,gunfire,Israeli security forces
2019,146,26.828767123287673,M,Palestinian,gunfire,Israeli security forces
2020,31,25.516129032258064,M,Palestinian,gunfire,Israeli security forces
2021,324,28.52469135802469,M,Palestinian,gunfire,Israeli security forces
2022,205,27.01951219512195,M,Palestinian,gunfire,Israeli security forces
2023,250,26.664,M,Palestinian,gunfire,Israeli security forces
