age,gender,citizenship,event_location_region,date_of_event,date_of_death,type_of_injury,killed_by,year_of_death
32.0,M,Palestinian,West Bank,2023-09-24,2023-09-24,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-09-24,2023-09-24,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-09-22,2023-09-22,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-09-20,2023-09-20,gunfire,Israeli security forces,2023
15.0,M,Palestinian,West Bank,2023-09-19,2023-09-19,gunfire,Israeli security forces,2023
29.0,M,Palestinian,West Bank,2023-09-19,2023-09-20,gunfire,Israeli security forces,2023
24.0,M,Palestinian,Gaza Strip,2023-09-19,2023-09-19,gunfire,Israeli security forces,2023
25.0,M,Palestinian,West Bank,2023-09-19,2023-09-19,gunfire,Israeli security forces,2023
23.0,M,Palestinian,West Bank,2023-09-19,2023-09-19,gunfire,Israeli security forces,2023
15.0,M,Palestinian,West Bank,2023-09-09,2023-09-09,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-09-05,2023-09-05,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-09-05,2023-09-05,gunfire,Israeli security forces,2023
45.0,M,Palestinian,West Bank,2023-09-01,2023-09-01,gunfire,Israeli security forces,2023
41.0,M,Palestinian,West Bank,2023-08-31,2023-08-31,gunfire,Israeli security forces,2023
14.0,M,Palestinian,West Bank,2023-08-30,2023-08-30,stabbing,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-08-22,2023-08-22,gunfire,Israeli security forces,2023
40.0,F,Israeli,West Bank,2023-08-21,2023-08-21,gunfire,Palestinian civilians,2023
28.0,M,Israeli,West Bank,2023-08-19,2023-08-19,gunfire,Palestinian civilians,2023
60.0,M,Israeli,West Bank,2023-08-19,2023-08-19,gunfire,Palestinian civilians,2023
32.0,M,Palestinian,West Bank,2023-08-17,2023-08-17,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-08-16,2023-08-19,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-08-15,2023-08-15,gunfire,Israeli security forces,2023
25.0,M,Palestinian,West Bank,2023-08-15,2023-08-15,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-08-11,2023-08-11,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-08-10,2023-08-19,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-08-06,2023-08-06,gunfire,Israeli security forces,2023
26.0,M,Palestinian,West Bank,2023-08-06,2023-08-06,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-08-06,2023-08-06,gunfire,Israeli security forces,2023
22.0,M,Palestinian,Israel,2023-08-05,2023-08-05,gunfire,Israeli civilians,2023
42.0,M,Israeli,Israel,2023-08-05,2023-08-05,gunfire,Palestinian civilians,2023
18.0,M,Palestinian,West Bank,2023-08-04,2023-08-04,gunfire,Israeli civilians,2023
17.0,M,Palestinian,West Bank,2023-08-04,2023-08-04,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-08-02,2023-08-07,gunfire,Israeli security forces,2023
20.0,M,Palestinian,West Bank,2023-08-01,2023-08-01,gunfire,Israeli security forces,2023
15.0,M,Palestinian,West Bank,2023-08-01,2023-08-01,gunfire,Israeli security forces,2023
23.0,M,Palestinian,West Bank,2023-07-26,2023-07-26,gunfire,Israeli security forces,2023
32.0,M,Palestinian,West Bank,2023-07-25,2023-07-25,gunfire,Israeli security forces,2023
32.0,M,Palestinian,West Bank,2023-07-25,2023-07-25,gunfire,Israeli security forces,2023
42.0,M,Palestinian,West Bank,2023-07-25,2023-07-25,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-07-21,2023-07-21,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-07-21,2023-07-21,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-07-20,2023-07-20,gunfire,Israeli security forces,2023
33.0,M,Palestinian,West Bank,2023-07-10,2023-07-10,gunfire,Israeli security forces,2023
32.0,M,Palestinian,West Bank,2023-07-07,2023-07-07,gunfire,Israeli security forces,2023
34.0,M,Palestinian,West Bank,2023-07-07,2023-07-07,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-07-07,2023-07-07,gunfire,Israeli security forces,2023
20.0,M,Palestinian,Israel,2023-07-04,2023-07-04,gunfire,Israeli civilians,2023
20.0,M,Palestinian,West Bank,2023-07-04,2023-07-04,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-07-04,2023-07-04,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
26.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
15.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-07-03,2023-07-03,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-07-03,2023-08-25,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-06-24,2023-06-24,gunfire,Israeli security forces,2023
39.0,M,Palestinian,West Bank,2023-06-23,2023-06-24,gunfire,Israeli security forces,2023
28.0,M,Palestinian,West Bank,2023-06-21,2023-06-21,gunfire,Israeli security forces,2023
27.0,M,Palestinian,West Bank,2023-06-21,2023-06-21,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-06-21,2023-06-21,gunfire,Israeli security forces,2023
15.0,M,Palestinian,West Bank,2023-06-21,2023-06-21,gunfire,Israeli security forces,2023
17.0,M,Israeli,West Bank,2023-06-20,2023-06-20,gunfire,Palestinian civilians,2023
24.0,M,Palestinian,West Bank,2023-06-20,2023-06-20,gunfire,Israeli security forces,2023
25.0,M,Palestinian,West Bank,2023-06-20,2023-06-20,gunfire,Israeli civilians,2023
21.0,M,Israeli,West Bank,2023-06-20,2023-06-20,gunfire,Palestinian civilians,2023
18.0,M,Israeli,West Bank,2023-06-20,2023-06-20,gunfire,Palestinian civilians,2023
64.0,M,Israeli,West Bank,2023-06-20,2023-06-20,gunfire,Palestinian civilians,2023
18.0,M,Palestinian,West Bank,2023-06-19,2023-06-19,gunfire,Israeli security forces,2023
14.0,F,Palestinian,West Bank,2023-06-19,2023-06-21,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-06-19,2023-06-19,gunfire,Israeli security forces,2023
48.0,M,Palestinian,West Bank,2023-06-19,2023-06-20,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-06-19,2023-06-19,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-06-19,2023-06-19,gunfire,Israeli security forces,2023
14.0,M,Palestinian,West Bank,2023-06-19,2023-06-19,gunfire,Israeli security forces,2023
31.0,M,Palestinian,West Bank,2023-06-19,2023-06-19,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-06-15,2023-06-15,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-06-13,2023-06-13,gunfire,Israeli security forces,2023
29.0,M,Palestinian,West Bank,2023-06-09,2023-06-09,gunfire,Israeli security forces,2023
2.0,M,Palestinian,West Bank,2023-06-01,2023-06-05,gunfire,Israeli security forces,2023
32.0,M,Israeli,West Bank,2023-05-30,2023-05-30,gunfire,Palestinian civilians,2023
38.0,M,Palestinian,West Bank,2023-05-29,2023-05-29,gunfire,Israeli security forces,2023
25.0,M,Palestinian,West Bank,2023-05-26,2023-05-26,gunfire,Israeli civilians,2023
24.0,M,Palestinian,West Bank,2023-05-22,2023-05-22,gunfire,Israeli security forces,2023
30.0,M,Palestinian,West Bank,2023-05-22,2023-05-22,gunfire,Israeli security forces,2023
